"Date","Price","Open","High","Low","Vol.","Change %"
"03-04-2023","59,106.44","59,131.16","59,204.82","58,793.08","4.27M","0.19%"
"31-03-2023","58,991.52","58,273.86","59,068.47","58,273.86","6.50M","1.78%"
"29-03-2023","57,960.09","57,572.08","58,124.20","57,524.32","5.87M","0.60%"
"28-03-2023","57,613.72","57,751.50","57,949.45","57,494.91","4.53M","-0.07%"
"27-03-2023","57,653.86","57,566.90","58,019.55","57,415.02","5.95M","0.22%"
"24-03-2023","57,527.10","57,890.66","58,066.40","57,422.98","6.43M","-0.69%"
"23-03-2023","57,925.28","58,061.41","58,396.17","57,838.85","5.08M","-0.50%"
"22-03-2023","58,214.59","58,245.26","58,418.78","58,063.50","","0.24%"
"21-03-2023","58,074.68","57,963.27","58,133.33","57,730.09","5.53M","0.77%"
"20-03-2023","57,628.95","57,773.55","57,829.23","57,084.91","6.51M","-0.62%"
"17-03-2023","57,989.90","58,038.17","58,178.94","57,503.90","6.30M","0.62%"
"16-03-2023","57,634.84","57,510.80","57,887.46","57,158.69","7.86M","0.14%"
"15-03-2023","57,555.90","58,268.54","58,473.63","57,455.67","7.63M","-0.59%"
"14-03-2023","57,900.19","58,168.75","58,490.98","57,721.16","10.23M","-0.58%"
"13-03-2023","58,237.85","59,030.59","59,509.25","58,096.91","8.01K","-1.52%"
"10-03-2023","59,135.13","59,259.83","59,262.47","58,884.98","6.31M","-1.12%"
"09-03-2023","59,806.28","60,467.09","60,467.09","59,750.53","7.67M","-0.90%"
"08-03-2023","60,348.09","59,916.10","60,402.85","59,844.82","6.48M","0.21%"
"06-03-2023","60,224.46","60,007.04","60,498.48","60,005.65","5.92M","0.69%"
"03-03-2023","59,808.97","59,241.20","59,967.04","59,231.58","9.22M","1.53%"
"02-03-2023","58,909.35","59,287.18","59,422.03","58,867.96","5.16K","-0.84%"
"01-03-2023","59,411.08","59,136.48","59,475.45","59,109.54","5.88M","0.76%"
